Zip Code Name,Territory: ID,Territory: Territory Name,Territory Role,
98934,a003600000IBbnF,RM - AK/WA/OR,RM,
98935,a003600000IBbnF,RM - AK/WA/OR,RM,
98936,a003600000IBbnF,RM - AK/WA/OR,RM,
98937,a003600000IBbnF,RM - AK/WA/OR,RM,
98938,a003600000IBbnF,RM - AK/WA/OR,RM,
98939,a003600000IBbnF,RM - AK/WA/OR,RM,
98940,a003600000IBbnF,RM - AK/WA/OR,RM,
98941,a003600000IBbnF,RM - AK/WA/OR,RM,
98942,a003600000IBbnF,RM - AK/WA/OR,RM,
98943,a003600000IBbnF,RM - AK/WA/OR,RM,
98944,a003600000IBbnF,RM - AK/WA/OR,RM,
98950,a003600000IBbnF,RM - AK/WA/OR,RM,
98946,a003600000IBbnF,RM - AK/WA/OR,RM,
98951,a003600000IBbnF,RM - AK/WA/OR,RM,
98952,a003600000IBbnF,RM - AK/WA/OR,RM,
98953,a003600000IBbnF,RM - AK/WA/OR,RM,
99001,a003600000IBbnF,RM - AK/WA/OR,RM,
99003,a003600000IBbnF,RM - AK/WA/OR,RM,
99004,a003600000IBbnF,RM - AK/WA/OR,RM,
99005,a003600000IBbnF,RM - AK/WA/OR,RM,
99006,a003600000IBbnF,RM - AK/WA/OR,RM,
99008,a003600000IBbnF,RM - AK/WA/OR,RM,
99009,a003600000IBbnF,RM - AK/WA/OR,RM,
99011,a003600000IBbnF,RM - AK/WA/OR,RM,
99012,a003600000IBbnF,RM - AK/WA/OR,RM,
99013,a003600000IBbnF,RM - AK/WA/OR,RM,
99014,a003600000IBbnF,RM - AK/WA/OR,RM,
99016,a003600000IBbnF,RM - AK/WA/OR,RM,
99017,a003600000IBbnF,RM - AK/WA/OR,RM,
99018,a003600000IBbnF,RM - AK/WA/OR,RM,
99019,a003600000IBbnF,RM - AK/WA/OR,RM,
99020,a003600000IBbnF,RM - AK/WA/OR,RM,
99021,a003600000IBbnF,RM - AK/WA/OR,RM,
99022,a003600000IBbnF,RM - AK/WA/OR,RM,
99023,a003600000IBbnF,RM - AK/WA/OR,RM,
99025,a003600000IBbnF,RM - AK/WA/OR,RM,
99026,a003600000IBbnF,RM - AK/WA/OR,RM,
99027,a003600000IBbnF,RM - AK/WA/OR,RM,
99029,a003600000IBbnF,RM - AK/WA/OR,RM,
98947,a003600000IBbnF,RM - AK/WA/OR,RM,
98948,a003600000IBbnF,RM - AK/WA/OR,RM,
99030,a003600000IBbnF,RM - AK/WA/OR,RM,
99032,a003600000IBbnF,RM - AK/WA/OR,RM,
99033,a003600000IBbnF,RM - AK/WA/OR,RM,
99034,a003600000IBbnF,RM - AK/WA/OR,RM,
99036,a003600000IBbnF,RM - AK/WA/OR,RM,
99037,a003600000IBbnF,RM - AK/WA/OR,RM,
99039,a003600000IBbnF,RM - AK/WA/OR,RM,
99040,a003600000IBbnF,RM - AK/WA/OR,RM,
99101,a003600000IBbnF,RM - AK/WA/OR,RM,
99102,a003600000IBbnF,RM - AK/WA/OR,RM,
99103,a003600000IBbnF,RM - AK/WA/OR,RM,
99104,a003600000IBbnF,RM - AK/WA/OR,RM,
99105,a003600000IBbnF,RM - AK/WA/OR,RM,
99107,a003600000IBbnF,RM - AK/WA/OR,RM,
99109,a003600000IBbnF,RM - AK/WA/OR,RM,
99110,a003600000IBbnF,RM - AK/WA/OR,RM,
99111,a003600000IBbnF,RM - AK/WA/OR,RM,
99113,a003600000IBbnF,RM - AK/WA/OR,RM,
99114,a003600000IBbnF,RM - AK/WA/OR,RM,
99115,a003600000IBbnF,RM - AK/WA/OR,RM,
99116,a003600000IBbnF,RM - AK/WA/OR,RM,
99117,a003600000IBbnF,RM - AK/WA/OR,RM,
99118,a003600000IBbnF,RM - AK/WA/OR,RM,
99119,a003600000IBbnF,RM - AK/WA/OR,RM,
99121,a003600000IBbnF,RM - AK/WA/OR,RM,
99122,a003600000IBbnF,RM - AK/WA/OR,RM,
99123,a003600000IBbnF,RM - AK/WA/OR,RM,
99124,a003600000IBbnF,RM - AK/WA/OR,RM,
99125,a003600000IBbnF,RM - AK/WA/OR,RM,
99126,a003600000IBbnF,RM - AK/WA/OR,RM,
99128,a003600000IBbnF,RM - AK/WA/OR,RM,
99129,a003600000IBbnF,RM - AK/WA/OR,RM,
99130,a003600000IBbnF,RM - AK/WA/OR,RM,
99131,a003600000IBbnF,RM - AK/WA/OR,RM,
99133,a003600000IBbnF,RM - AK/WA/OR,RM,
99134,a003600000IBbnF,RM - AK/WA/OR,RM,
99135,a003600000IBbnF,RM - AK/WA/OR,RM,
99031,a003600000IBbnF,RM - AK/WA/OR,RM,
99136,a003600000IBbnF,RM - AK/WA/OR,RM,
99137,a003600000IBbnF,RM - AK/WA/OR,RM,
99138,a003600000IBbnF,RM - AK/WA/OR,RM,
99139,a003600000IBbnF,RM - AK/WA/OR,RM,
99140,a003600000IBbnF,RM - AK/WA/OR,RM,
99141,a003600000IBbnF,RM - AK/WA/OR,RM,
99143,a003600000IBbnF,RM - AK/WA/OR,RM,
99144,a003600000IBbnF,RM - AK/WA/OR,RM,
99146,a003600000IBbnF,RM - AK/WA/OR,RM,
99147,a003600000IBbnF,RM - AK/WA/OR,RM,
99148,a003600000IBbnF,RM - AK/WA/OR,RM,
99149,a003600000IBbnF,RM - AK/WA/OR,RM,
99150,a003600000IBbnF,RM - AK/WA/OR,RM,
99151,a003600000IBbnF,RM - AK/WA/OR,RM,
99152,a003600000IBbnF,RM - AK/WA/OR,RM,
99156,a003600000IBbnF,RM - AK/WA/OR,RM,
99157,a003600000IBbnF,RM - AK/WA/OR,RM,
99158,a003600000IBbnF,RM - AK/WA/OR,RM,
99159,a003600000IBbnF,RM - AK/WA/OR,RM,
99160,a003600000IBbnF,RM - AK/WA/OR,RM,
99161,a003600000IBbnF,RM - AK/WA/OR,RM,
99163,a003600000IBbnF,RM - AK/WA/OR,RM,
99164,a003600000IBbnF,RM - AK/WA/OR,RM,
99166,a003600000IBbnF,RM - AK/WA/OR,RM,
99167,a003600000IBbnF,RM - AK/WA/OR,RM,
99169,a003600000IBbnF,RM - AK/WA/OR,RM,
99170,a003600000IBbnF,RM - AK/WA/OR,RM,
99171,a003600000IBbnF,RM - AK/WA/OR,RM,
99173,a003600000IBbnF,RM - AK/WA/OR,RM,
99174,a003600000IBbnF,RM - AK/WA/OR,RM,
99176,a003600000IBbnF,RM - AK/WA/OR,RM,
99179,a003600000IBbnF,RM - AK/WA/OR,RM,
99180,a003600000IBbnF,RM - AK/WA/OR,RM,
